cat,F0,F1,F2,F3,F4,F5,F6,F7,F8,Sx,Sy,Sz
general_aleatoire,1.84468794,-0.698678732,1.3781352,-0.445291042,0.989280224,-0.914603949,0.158768415,1.31494999,0.347004652,2.70458817,1.46727145,0.459099382
general_aleatoire,-0.572986841,1.86102104,-0.876262188,0.428136826,0.170784235,-0.896003485,-1.43630314,-0.81490612,1.20878792,2.59986472,1.68228102,0.416749775
general_aleatoire,-1.33893228,-1.70179749,-1.93745446,1.94754767,-0.3063941,1.08897901,-0.420474052,-1.20513749,-0.826047421,3.60433745,1.67943525,0.12263003
general_aleatoire,-1.97791171,-1.94368076,1.26184559,-1.20463061,0.827429295,0.84536767,0.9160285,1.16070199,1.08508134,3.25616455,1.95370364,-1.03772688
general_aleatoire,0.423839808,-1.70382142,1.70520329,-0.566137314,0.60430789,-1.53652382,1.65983868,1.45241356,1.40015411,3.13184834,2.45554137,0.15431878
general_aleatoire,0.493192434,-0.202197313,-0.676408052,-1.61835957,-1.74576664,-0.516727209,-0.756070852,0.675364971,-0.699266911,2.44389892,1.21687126,0.859513521
general_aleatoire,0.663689375,0.918424606,0.365190983,0.550229788,-0.901113033,1.54885077,0.24497366,-0.11114049,-0.468292713,1.89555275,1.1909138,0.459689915
general_aleatoire,-1.52162313,1.88684821,0.852978945,1.39565516,1.04314017,0.886918068,0.245108604,-1.05606055,1.0838685,2.66954279,1.95244789,-1.35548043
general_aleatoire,-0.975726843,-0.0248177052,-1.83826566,0.0909311771,0.842651367,-0.28983593,-1.55643678,-1.89832354,-0.242654085,2.75921988,1.88050926,-0.263843983
general_aleatoire,-1.56843448,-1.19312334,-1.87428331,1.5830543,0.545641422,-0.0985193253,-0.742576122,0.253102064,0.0342826843,3.00086904,1.28400588,-0.415605575
general_aleatoire,0.782064199,1.63026571,-1.4426744,-1.00283122,0.417669296,-0.358468533,0.159364223,1.0222044,-1.18775511,2.79021049,1.15088367,-0.174844787
general_aleatoire,-1.0848074,1.77141428,-1.6920805,0.395461798,-0.840994358,0.779139519,-1.35511494,1.52187133,1.71879053,3.06903958,2.51560092,0.0893766209
general_aleatoire,0.497416019,1.23248148,-0.817465305,0.533614874,-1.5780232,1.48584223,-0.173861742,1.2146883,-1.12623835,3.10455418,0.742405891,0.0446791425
general_aleatoire,-1.25371981,-0.333960295,1.57023597,1.53312087,0.157368898,-0.702620029,1.22976041,-1.51164842,1.58436513,2.71951008,2.41927195,-0.277266294
general_aleatoire,-0.574808836,-0.727986336,1.62731361,-1.55979252,-0.911471128,-1.08825946,0.590760469,-0.291568995,-1.99791861,2.80553389,2.03408766,0.611322641
general_aleatoire,1.27205896,-0.589724779,1.44292212,-0.780874968,-1.97219157,-1.34137678,0.0429890156,0.136357546,-0.330356121,2.699229,1.76785266,0.254886985
general_aleatoire,-0.060680151,-1.11156893,0.769743919,-1.52053857,-0.922350883,-0.649539471,-1.02349806,1.77163863,-1.32683587,2.74091077,1.94356787,-0.270443738
general_aleatoire,-0.707188368,-1.12494326,0.0751624107,0.232407808,0.812075615,-0.384655476,-0.545481682,-1.74043107,1.88712811,2.95024848,0.893877208,-0.132750139
general_aleatoire,-0.984338522,1.84978914,-1.01249576,-0.992871046,0.785217047,-0.0110061169,0.849082232,-0.796486855,-1.40765238,2.67590117,1.75319266,-0.347787142
general_aleatoire,-0.860638142,1.99096179,-1.85245228,-0.93287611,0.438257217,1.90645981,0.0107159615,-0.355852127,-1.79408503,3.32241154,2.2070179,-0.518906593
general_aleatoire,-1.86779714,-0.885414362,-0.619715214,1.63306332,0.537405252,-1.04175258,0.722821712,-1.42042065,0.123738289,2.69577575,1.59474671,1.20107174
general_aleatoire,-0.0421891212,-0.20886755,1.94260168,0.21157217,-1.03177905,0.370786667,0.688542128,-1.67658687,1.04647827,2.71271253,1.43337047,0.180858999
general_aleatoire,-0.521382332,-1.04944992,-1.03136039,0.912865162,1.21255898,-0.528867483,-0.118797541,0.529223204,1.93369246,2.42500472,1.78048146,-0.0529669039
general_aleatoire,0.534118652,-0.404702425,0.143098593,1.26572728,-1.63884115,1.19338036,1.34120989,-1.39713001,-0.716879845,2.94130754,1.33200765,0.144099712
general_aleatoire,0.0327949524,-1.25392604,0.783251047,-1.83689952,1.4334352,0.363571644,-0.696164608,0.710257292,-1.11903596,2.71249723,1.48992991,0.64173919
general_aleatoire,-1.93364882,0.844598055,0.0483720303,1.23800397,-1.09401703,-0.605336189,0.580691099,-1.61529398,-1.30253434,3.19215488,1.41523063,0.029732585
general_aleatoire,1.76209283,0.763750792,-0.409712076,-0.45305872,0.0710053444,1.74691987,1.35084033,-1.44991636,0.702760458,2.31481194,2.1211834,1.29665327
general_aleatoire,-0.635734797,0.940864325,-1.5461061,-1.16371369,1.69877434,0.16579175,1.50935721,0.78313756,-0.968233585,2.48135924,2.10723782,1.08569109
general_aleatoire,-1.08579993,0.63993597,-1.30018044,1.26888871,1.92867327,0.220803022,0.0665433407,0.118602276,-0.956683397,2.33851886,1.93454933,0.616561115
general_aleatoire,-1.03259087,1.98501468,-1.62758899,1.86167717,1.5888629,0.233173609,1.60167217,1.53054523,0.532405615,3.38018012,2.72166157,-0.242050514
general_aleatoire,-1.24517179,-0.643880844,-0.884514809,-0.603161812,0.801431179,0.90382266,1.38664436,1.5884409,1.42529702,3.07273126,1.24848402,0.21772033
general_aleatoire,1.54834557,-0.381967545,1.11950207,1.55108023,0.56812644,1.4037137,-1.66344023,1.74253988,-1.35348535,3.69601059,1.56562603,-0.13896051
general_aleatoire,1.14136243,1.59421659,0.675952911,0.425716162,0.322746277,-1.96321201,-0.510869026,-1.59411407,1.76053357,3.10337567,2.12669015,-0.434349716
general_aleatoire,0.654006958,1.89465523,-1.97975373,-0.864316225,-1.35676789,-0.778544664,0.194935083,-0.0575451851,0.767580748,2.93582702,1.77127028,-0.0698137656
general_aleatoire,-0.206303596,0.60784483,1.97782969,-1.10292292,-1.29629922,0.848716736,-1.92769861,-1.05100369,-0.0244252682,2.79522657,2.12835646,-0.647326887
general_aleatoire,-0.698401213,-1.28470922,0.98596549,-0.53412509,0.598531485,0.976681948,1.3968935,0.883759499,0.630451441,2.14808345,1.5147959,-0.963716269
general_aleatoire,-0.767756939,0.273234367,0.17016077,-1.62530112,0.0352561474,-0.529136896,0.545330286,-0.939190626,-0.998152733,1.93632519,1.42816043,0.0516823195
general_aleatoire,-1.02404165,0.359483242,1.89204216,1.91557121,-0.427609205,-0.0530314445,1.56818604,1.62439513,0.524554491,2.78230667,2.2396915,1.10831594
general_aleatoire,-0.262422562,1.179245,-0.599686384,0.0105483532,0.580413342,0.307615519,0.675696135,-0.0299293995,1.45667005,1.83077657,1.21111643,0.10737507
general_aleatoire,-1.21902823,-1.07925916,0.889808416,-0.00322651863,-0.876910686,0.288016796,-1.90273619,1.07421589,0.581889153,2.48034215,1.80412304,0.0225434955
general_aleatoire,-1.82558513,-1.29155731,1.97820187,1.76183414,-0.120222092,1.81571412,-0.88175869,1.65945745,1.53397608,3.24868011,2.52779055,2.06645274
general_aleatoire,-0.519365311,0.990875006,-1.93817377,1.81228733,1.71327424,-0.676998854,-0.287263632,0.211059809,1.86661911,3.11632895,2.14886117,-0.984040141
general_aleatoire,0.289169788,1.85447979,1.92132616,1.41203761,-1.69861507,-0.82220459,-0.777212143,-0.45960927,-1.23635602,3.43996549,1.80172753,0.183478445
general_aleatoire,1.4045465,-0.926100731,-0.732312202,-0.0588805676,-1.32202911,-0.509252548,0.227205038,-0.421234369,1.74461889,2.15991807,1.71922672,-1.01441061
general_aleatoire,1.37685251,0.784119129,1.72006726,0.280244589,-1.71833563,-1.61129403,-1.16432524,0.460028887,0.684573889,3.09998226,1.82416368,-0.441744536
general_aleatoire,1.96021533,-0.565412998,-1.43966413,-0.983345509,0.0733184814,-0.818837881,1.50949216,-0.709797144,0.963074446,2.80850077,1.89738631,-0.315829933
general_aleatoire,1.39467907,0.788062811,-1.45351481,0.809936285,0.835643768,-0.562035561,0.211279869,-0.825632811,-0.813959599,2.50591111,1.20744824,0.0194088463
general_aleatoire,1.2374444,-0.320876598,1.24045348,-0.975172281,1.46828914,0.446054697,1.65296221,-1.67362332,0.0453693867,3.12996387,1.48828256,-0.049517896
general_aleatoire,-1.97926068,0.00606513023,0.511577606,1.19318056,-1.22290421,0.599855661,-1.71623635,0.807867289,-0.412864923,3.0790236,1.31246626,-0.154409349
general_aleatoire,1.18317056,-1.79692602,1.56002116,1.5464685,-0.648019552,-1.88953304,-0.497668266,0.31545949,-1.62407231,3.09958887,2.56297755,-0.502817214
general_aleatoire,-0.246103525,0.313120365,0.688104391,-1.85623097,-0.687389374,-0.137608051,-1.3798337,0.17057848,1.9273634,2.73324299,1.65131295,0.139455929
general_aleatoire,-0.853835106,1.35573387,0.363332987,1.44161844,-1.87799907,-0.998994589,-1.8506074,-1.84466124,1.29040217,3.04460144,2.91555357,0.15749526
general_aleatoire,-0.786937952,-0.55923748,0.148329496,-1.49175811,-0.693395138,0.0889728069,1.31147599,1.07997417,-0.913828373,2.64214873,0.630968928,0.101972543
general_aleatoire,-1.13671613,1.86100721,0.49156189,-0.170939445,-1.65861034,1.3680923,-1.79327321,-1.22248006,0.125418425,2.86211562,2.16889668,-1.21621859
general_aleatoire,-0.354584455,0.162540436,0.798048735,0.549719572,-1.4465878,0.904365301,-1.46901846,1.90340829,1.87814736,3.21380663,1.72570455,0.0593431927
general_aleatoire,0.0652012825,0.858380318,-0.708174229,-1.83573008,1.18074465,-0.404716492,-0.916671038,-0.265917063,-0.244114399,2.38338447,1.12138247,-0.450563639
general_aleatoire,0.97617054,-1.68617463,-0.996557951,-1.89859724,-1.26266551,1.85059357,-1.67650819,1.34392047,-0.28674221,3.20860386,2.59133816,1.04964983
general_aleatoire,0.783896685,0.753999472,-0.364188433,-1.76722574,-1.30682278,1.66085482,-1.37425184,-0.230591297,-0.999028444,3.01048017,1.64958251,-0.246247485
general_aleatoire,-1.04085064,0.196906567,-1.62450695,0.858383656,-1.26853609,0.64078927,1.73845577,-0.880264521,0.553082228,2.99580717,1.12321401,-0.619924009
general_aleatoire,1.81946111,0.0667848587,0.951587439,0.628445148,0.217416048,-0.257308483,0.446882963,0.920157194,-0.32159996,2.13782382,1.09596872,0.327445358
general_aleatoire,-1.80913568,-1.00907612,0.264148712,-0.576109409,-1.36541438,1.03138423,-1.51934147,-1.9424262,-0.632481337,3.44613099,1.25522959,-0.806860328
general_aleatoire,-1.53570962,-1.63280392,-1.81598949,-1.62337208,-1.83708501,-0.754346848,1.4218421,1.91804194,0.814631224,4.53293324,0.83347255,0.15332292
general_aleatoire,-1.29867911,-0.103304863,-1.93135571,-1.60866356,1.0534575,-0.0335366726,1.22765183,-0.106112957,-0.61478281,2.68851089,1.84334648,0.629604042
general_aleatoire,-1.30719256,-0.14130497,-0.264593601,0.599094629,-0.405981064,-1.80776453,0.463400364,1.7965827,0.540374517,2.29736686,1.71846461,-1.04590428
general_aleatoire,1.54672146,-1.818784,-0.956425667,-0.501549721,-1.93878198,0.503439426,1.7337451,0.0125448704,0.00415945053,2.94355679,2.15460253,-0.760368109
general_aleatoire,1.42595935,0.157509565,0.634774446,0.735854864,-1.34826231,0.463404655,-1.71772504,1.77556634,0.569676876,3.01484346,1.33381319,-0.771072686
general_aleatoire,1.77700639,-1.89395499,1.46879554,0.343102217,0.545614243,1.76092076,1.2037971,0.301896572,0.708673239,3.27932215,1.74823022,-0.80663389
general_aleatoire,-0.447320461,0.293467999,0.573152781,-1.48599863,-0.166988611,1.24481654,0.182466984,1.28255773,1.76585913,2.57721305,1.59150279,0.148212865
general_aleatoire,0.503758669,-0.455589533,1.28170729,1.84476209,0.605938911,1.6214025,-1.1732626,-1.2168355,-0.904155493,3.25755119,1.21808612,-0.287613511
general_aleatoire,-1.72255492,-1.14164352,-1.59688807,-0.490963697,-1.92711282,-1.84414768,-1.62222838,0.473015308,0.732027054,3.61868715,2.08958602,0.325962663
general_aleatoire,-0.653783321,-1.71524549,0.622890472,-0.72409749,-0.458413601,1.3795011,0.726454496,-1.90691233,-0.637501955,2.61973095,1.99697471,-0.338433206
general_aleatoire,1.25787377,-0.957221985,-0.872581005,-0.0158503056,-1.52734089,0.771561384,0.786948442,-0.60665369,0.515771151,2.17264557,1.53023136,-0.616105795
general_aleatoire,1.74659252,1.50988793,-1.8432548,0.940284014,-0.328216076,1.21392369,1.87032199,-0.871861935,0.191887379,3.04358101,2.38708472,0.725888968
general_aleatoire,-1.29024196,-0.306116343,1.00245881,0.274080992,1.22733879,0.303698063,1.9620204,0.926590919,-0.349529505,2.74308634,1.25016272,-0.424152315
general_aleatoire,-1.48924112,-0.511927843,-0.999934435,1.10565162,0.32217598,-0.636785984,1.46846628,1.72302914,0.247466564,2.92349792,1.10432899,-0.794742525
general_aleatoire,1.43365097,-1.04561257,-0.284024,0.719378948,1.00348425,0.959635019,1.01817131,-1.04705548,-1.58750463,2.74935722,1.55263913,-0.598524511
general_aleatoire,-0.489084482,1.61021161,0.13730979,0.0210094452,-0.0137553215,1.30582976,-0.441527843,-0.719801664,-0.809459448,1.90492058,1.42949367,-0.502765238
general_aleatoire,1.58209276,-1.60006046,-0.443193436,-1.7860589,-1.95664954,1.83416581,1.62152767,1.38857245,-1.63485336,4.20170879,2.28336048,0.0664663538
general_aleatoire,-0.580379248,-0.722745657,1.82720351,1.80024767,0.707079411,1.80242848,-0.0699162483,0.293751478,-0.0278975964,2.79698348,1.83818996,0.278158844
general_aleatoire,0.527348757,-1.66686249,-0.206218004,-1.63318348,-0.827157021,0.409763575,-0.685341835,0.21481204,0.690073729,2.00608516,1.84570026,-0.423660874
general_aleatoire,-1.14908862,1.00949788,1.78477812,1.16631603,1.12518406,1.15847254,-1.54614162,-1.6351757,1.72371626,3.19964576,2.47550917,-1.07841861
general_aleatoire,-0.02231884,1.89699268,-1.76976514,1.98372483,0.198115349,-1.77651548,-0.233878136,0.948142052,1.55081654,3.38339376,2.07516122,-1.21104264
general_aleatoire,0.183662891,-0.596340179,0.823325872,-1.53173208,1.87460756,-1.42803335,0.752120018,1.04604244,1.34785533,3.00751209,1.79193926,-0.432761669
general_aleatoire,0.472872019,1.4674747,-1.59550953,1.35392284,-1.66357279,-0.29563427,0.8038764,-1.10969448,-1.70894814,2.86157775,2.40697122,0.653243184
general_aleatoire,-0.413393736,1.28744006,1.56758761,0.824968815,-1.41358089,-1.67460489,0.0533046722,-1.6606493,-1.06708789,3.62951159,0.674936414,-0.197973892
general_aleatoire,1.94655824,0.325221539,-0.502917051,1.45255399,-0.517431498,1.52143979,1.25119805,-1.05325937,1.78899407,3.32772303,1.89272606,0.243743449
general_aleatoire,1.63077474,1.94400406,0.367554903,1.01351261,-0.599127054,-0.494961739,0.832724571,-1.66599727,-0.0733320713,2.74511623,1.98885274,-0.433565944
general_aleatoire,1.1085875,-0.488049746,0.233616829,0.820337296,-0.30311203,-1.00510359,1.62541747,-0.678989887,-1.55521011,2.80520177,0.97395581,-0.0272002071
general_aleatoire,-0.262192726,-0.0294997692,-0.985271454,-1.95458555,-0.379191875,-0.125357628,0.28589201,-1.77478695,0.963895321,2.12534642,2.0043571,-0.804010332
general_aleatoire,-1.52472854,1.06877923,-1.52989507,1.2911613,0.596841097,0.976846457,0.984179497,0.724157572,0.333474874,2.87146544,1.45130193,0.19452323
general_aleatoire,-1.0499742,1.84869003,-0.399108648,-0.500517845,-0.0891406536,-0.857151747,-1.66843486,1.47439647,0.11348033,3.05968142,0.950997889,0.61393106
general_aleatoire,-1.10561681,-0.254656792,1.85289001,1.20843697,-1.95138216,1.9116025,1.87951517,0.224020004,-1.82736039,3.66937304,2.65373182,0.241439834
general_aleatoire,-0.709254503,1.56457233,-1.82639694,0.110804319,1.69857311,1.97185898,1.67646265,-1.70481396,-0.988039494,3.39218092,2.66637683,1.07191145
general_aleatoire,0.215416908,0.781644344,1.87721014,-1.69826198,0.0923912525,-1.33513832,0.517594337,-1.13276362,0.782994747,2.81500697,1.53632438,0.857960224
general_aleatoire,-0.822024345,-0.18183589,1.98332548,0.51023221,0.787700176,0.337257147,-0.463192701,1.6046319,0.948402643,2.52117872,1.63026643,0.558271527
general_aleatoire,-1.81821465,1.66101718,-0.87614727,1.83480954,1.80164576,-1.76854444,1.56105494,-0.421912909,-0.177373171,3.23990679,2.95133376,0.108237676
general_aleatoire,-1.57297587,0.480530262,-0.657359838,-0.890475273,-1.32128048,-1.24751544,0.587393284,-0.145206451,-0.446926594,2.29888272,1.49852693,-0.517417967
general_aleatoire,-0.586591244,-1.08242106,0.33462429,-0.936248302,-1.68906164,-0.558619738,1.89757919,-0.960200787,1.94484282,2.93942857,2.27143669,0.418073863
general_aleatoire,-0.187036753,0.792646646,-1.87073636,0.144385338,-0.880946159,-0.761889696,-0.355173349,1.25517988,0.411127329,2.08102846,1.75311327,0.0829477087
general_aleatoire,0.738924503,-0.916169643,-1.34953237,-1.46725965,1.64370871,-1.69519854,1.29014874,1.76212716,1.79919958,3.25451851,2.62437248,1.20930374
general_aleatoire,-0.33344388,0.902877808,0.324650288,0.453660727,1.67670608,-0.327028036,-1.66900635,1.73091388,1.50664592,3.08575845,1.6387763,0.00161530543
general_aleatoire,1.46425533,0.20635128,-1.81912541,-1.34066296,-1.8945322,-0.354979753,-0.494146585,1.11040902,1.24221325,2.73112798,2.54821968,0.276190162
general_aleatoire,-0.0785198212,1.94910431,1.94114399,-1.3983326,-0.493044138,0.376522779,0.998313189,-0.476436615,-0.428042412,2.84420037,1.76182282,0.356025457
general_aleatoire,1.87965751,1.31665683,1.36847568,0.276325703,1.35331464,-1.74595284,-0.125227451,-1.85271263,-0.340722084,3.02970529,2.347579,-0.984717309
general_aleatoire,-1.46459174,-0.906371832,-1.94531226,-1.77449822,-1.69856381,1.45888948,0.766857386,1.25160384,0.137384892,3.29999423,2.44986844,0.441294253
general_aleatoire,1.99887061,0.999642849,1.98654723,1.65266299,0.221726656,0.340598106,1.07594943,0.904483318,1.77906275,3.97162271,1.09734178,0.021905968
general_aleatoire,1.0283246,1.39858937,-0.48859787,-1.01060772,-1.03566074,-0.197823524,-1.17981887,-1.48336244,-0.99423027,2.98396182,1.01956165,-0.150277004
general_aleatoire,1.81620407,-0.901072979,0.424698353,-1.17108941,-1.08542895,1.51288247,0.686802626,1.0279963,0.47251296,2.36324096,1.99917197,-1.13994074
general_aleatoire,-1.81241417,-0.567349195,-0.925310135,-1.54576969,-1.91126108,0.686292648,-0.00733947754,0.0812306404,-0.0951573849,2.98310637,1.44672847,-0.00303357723
general_aleatoire,1.08927345,1.32548594,0.0806539059,-0.768891096,1.40872598,1.26554275,0.207627296,1.87189484,0.243751764,2.85118651,1.56552994,-0.391920358
general_aleatoire,-1.64636731,1.50661421,1.16727114,-0.386068583,0.359823465,-1.46393919,-0.0798163414,-1.88486934,-0.317857027,2.89489412,1.61407197,1.19961226
general_aleatoire,1.02054882,1.13867283,0.481238127,0.557445288,0.816318989,1.2201786,-1.14814353,1.61260414,-1.45451427,2.54310155,2.06769109,-0.572073638
general_aleatoire,0.469054699,-1.94182158,1.92185068,-0.597649813,0.432351351,0.359670639,0.546577215,-0.431023836,0.219262362,2.8331511,0.910595059,-0.185321927
general_aleatoire,-0.250100374,-1.63599181,1.61663461,0.905587912,-0.606978178,0.189785004,0.0559577942,-0.196358442,1.13461185,2.554106,0.994344056,0.627624035
general_aleatoire,1.64188504,-0.413829088,-0.808162212,0.488346577,0.094408989,1.44945478,0.790567398,1.79808235,1.1858871,2.57036257,1.85285842,-1.04549432
general_aleatoire,-1.41170621,-0.162612915,1.70635033,1.36836553,-0.0315349102,1.07567096,-0.967022657,-1.73505616,-0.163457155,2.48999214,1.98667419,-1.33671618
general_aleatoire,-1.81655502,1.92013025,0.483222723,-0.0295276642,-0.610346556,-0.684993744,-1.16347694,0.533603191,0.318599701,3.00802112,0.7827847,0.376644313
general_aleatoire,-1.03941774,-0.633747339,-1.69654679,0.149053574,-1.48448133,-0.159523487,-1.48781681,0.33906436,-1.3923893,2.83481169,1.66765022,0.248483717
general_aleatoire,-0.398798227,-1.44469142,0.790670156,0.563498974,-1.27973104,-1.27247977,0.786005735,-0.617331028,-0.353355169,2.16556454,1.6162641,0.517264903
general_aleatoire,1.58715343,1.49727035,-0.104153633,0.0609440804,0.670230865,1.89244127,-1.31072068,0.407741547,-1.23084402,2.64387584,1.92986929,-1.22095191
general_aleatoire,-1.10460377,-1.83652568,1.28716254,-1.32425976,-0.619669676,-0.885638714,-0.609523296,-1.29195809,-1.87278128,2.92707253,2.36054683,0.761461079
general_aleatoire,-1.64519,0.194861174,-1.51745653,0.137693882,-0.156885147,-0.576034069,-1.17466521,1.57686901,-0.542920589,2.77885151,1.29591751,-0.427061349
general_aleatoire,-1.48500657,0.013669014,-0.679602146,0.761579275,-0.713669062,-1.8427515,-1.63083768,1.19764137,-0.0754184723,2.64147544,1.97799373,-0.601800144
general_aleatoire,0.511601448,0.751138687,-1.6729641,0.0466279984,1.49431443,-1.37208939,1.68348956,-0.490856171,-1.75568819,3.23732257,1.84329081,0.148567468
general_aleatoire,-1.98961997,-0.892489433,1.47320437,1.22480512,-1.66193199,0.993038654,0.389112234,-1.26191616,1.94502783,3.39831233,2.42220664,0.533954322
general_aleatoire,-1.1626029,0.146362543,-0.518111706,1.69616699,-0.0619082451,-1.05553389,0.473018885,1.03982162,-0.524345636,2.25885963,1.21752203,-0.794721186
general_aleatoire,0.125062943,-0.149861336,0.882064104,0.989883661,-1.75063467,-1.85326719,-1.40904379,-0.990252256,-1.4675324,3.15044212,1.75356221,-0.643985033
general_aleatoire,0.853398323,0.748661995,1.58082724,1.37776256,0.0467095375,0.998464823,0.128453732,-1.8781116,-1.57131219,3.16530395,1.62846887,-0.164035484
general_aleatoire,1.46885991,-0.210350752,-0.583413363,0.130468845,-0.411344767,-1.03011799,-1.58052349,-0.923027277,0.949620724,2.54423165,1.04388249,-0.691770077
general_aleatoire,-0.490863562,-1.27086449,-1.9197154,0.255860329,-0.711683512,1.36283994,-1.15420818,-1.64318275,-0.690010786,3.05585837,1.6856308,0.547156274
general_aleatoire,0.141342163,-1.52095151,-1.06713438,1.56210899,-0.628292561,0.374369621,-0.104120255,0.716409206,-0.57958293,2.06698179,1.57400763,-0.746473372
general_aleatoire,1.15668488,0.595291138,-0.00623130798,-0.0816717148,-1.65231895,0.336797714,0.148426056,0.947289705,0.347364426,2.07609248,1.0290271,-0.462152094
general_aleatoire,0.230968952,0.981757879,0.346141577,-0.273361921,0.257833958,-1.48967886,-0.484909534,-0.864896536,-0.650212765,1.81756008,1.25687718,0.141605347
general_aleatoire,-0.547670841,1.59858942,0.583668947,0.430220842,0.283113003,-1.02258754,-0.57561326,-0.00700926781,1.9460609,2.46679473,1.58645201,-0.153803557
general_aleatoire,-0.678606272,0.423099041,1.7347672,-1.05109286,-1.9698627,-1.59287024,-1.09866881,-1.38856363,-0.538572788,3.41446066,1.71403754,0.0101556042
general_aleatoire,-1.01616931,-0.048760891,-1.35727453,1.40327001,-1.25373197,-1.64844966,-0.859619379,1.22345948,-1.30650568,2.54415345,2.45560551,-0.75868845
general_aleatoire,-1.77738619,1.58706164,1.36925602,-1.67906523,-1.79345822,0.0980453491,-1.92703009,-0.358412743,0.787845612,3.40063381,2.54849863,0.0392701477
general_aleatoire,1.92951441,1.98902202,-1.5518446,1.58644104,-0.408577681,0.303993464,1.87788153,1.66958237,1.4620285,3.85114551,2.19491196,-1.29077923
general_aleatoire,-1.97880006,1.26828814,1.90026855,-0.968388796,-0.0370049477,-1.31644988,0.891584158,0.674572706,1.28344584,3.11764073,2.1961596,-0.402262777
general_aleatoire,1.71750379,0.873828888,0.227051497,0.140146732,0.286450624,-0.0935220718,-0.880083799,1.35433006,1.0779717,1.96664667,1.9327389,0.20734556
general_aleatoire,-1.17968988,-1.25182509,1.87197614,-0.705283165,0.843809843,-0.298254251,-1.20197248,0.0304412842,0.944988728,2.86169577,1.37902498,-0.0952885672
general_aleatoire,-1.03036118,0.11935997,-1.54065275,0.828920364,0.442480087,1.07111788,-0.845477819,-1.65083933,0.324952841,2.36862159,1.84322262,-0.132490486
general_aleatoire,0.0244157314,-1.38254929,1.72805715,-0.0754396915,-0.717431307,0.130357504,0.375532389,-1.79270601,-0.523078203,2.53877568,1.60910308,0.171601877
general_aleatoire,-0.65358305,-0.182928324,-1.46234131,0.19441247,-1.74650025,0.195687771,1.95984077,-1.19307828,-0.710584641,2.66903734,1.61363769,-1.32935464
general_aleatoire,0.738286018,1.23949766,-1.64852762,-0.981437445,-1.44470096,0.726010799,-1.98915648,1.04091144,-1.53321576,3.15548277,2.3543036,0.517406166
general_aleatoire,0.38255477,-0.107335329,-0.113695383,0.424407482,-0.352636576,1.17715764,-0.604526997,-1.57320309,1.71811652,2.61627936,0.834327757,0.335104078
general_aleatoire,1.40290976,1.32247758,0.983897924,1.86010742,-0.365926981,-1.50281119,1.73175216,0.923469782,1.9637177,3.46398592,2.4268651,-0.597141683
general_aleatoire,1.7533617,-1.17999291,-1.27506781,-0.483085871,-1.73401499,1.70579767,0.964482546,0.886386156,0.297892332,2.71981382,2.3043077,-1.15750158
general_aleatoire,-1.80762148,1.36731505,1.12605786,-1.44091058,1.31176353,1.18106914,1.00200748,-1.19349074,1.19814849,3.51682234,1.75182998,-0.154834762
